Hole Name,Collar X,Collar Y,Collar Z,Toe X,Toe Y,Toe Z
1,114.72,20.5,395.19,114.72,20.5,392.5
2,110.34,19.11,395.58,110.34,19.11,392.5
3,105.95,17.71,396.02,105.95,17.71,392.5
4,101.57,16.32,396.86,101.57,16.32,392.5
5,97.19,14.93,397.41,97.19,14.93,392.5
6,92.8,13.54,397.92,92.8,13.54,392.5
7,88.42,12.14,398.47,88.42,12.14,392.5
8,84.03,10.75,399.27,84.03,10.75,392.5
9,79.65,9.36,400.35,79.65,9.36,392.5
10,75.27,7.96,401.29,75.27,7.96,392.5
11,70.88,6.57,402.06,70.88,6.57,392.5
12,66.5,5.18,402.84,66.5,5.18,392.5
13,62.11,3.79,403.52,62.11,3.79,392.5
14,57.73,2.390000001,404.59,57.73,2.390000001,392.5
15,54.1,1.21,405.33,54.1,1.21,392.5
16,50.33,0,405.42,50.33,0,392.5
17,48.37,3.53,405.28,48.37,3.53,392.5
18,50.77,4.41,405.35,50.77,4.41,392.5
19,54.33,5.51,404.75,54.33,5.51,392.5
20,58.71,6.9,403.67,58.71,6.9,392.5
21,63.09,8.29,402.52,63.09,8.29,392.5
22,67.48,9.69,401.69,67.48,9.69,392.5
23,71.86,11.08,400.7,71.86,11.08,392.5
24,76.25,12.47,399.82,76.25,12.47,392.5
25,80.63,13.87,398.79,80.63,13.87,392.5
26,85.01,15.26,398.01,85.01,15.26,392.5
27,89.4,16.65,397.38,89.4,16.65,392.5
28,93.78,18.04,396.8,93.78,18.04,392.5
29,98.17,19.44,396.31,98.17,19.44,392.5
30,102.55,20.83,395.71,102.55,20.83,392.5
31,106.93,22.22,394.92,106.93,22.22,392.5
32,111.32,23.61,394.57,111.32,23.61,392.5
33,103.53,25.34,394.41,103.53,25.34,392.4
34,99.15,23.95,395.3,99.15,23.95,392.5
35,94.76,22.55,395.85,94.76,22.55,392.5
36,90.38,21.16,396.34,90.38,21.16,392.5
37,86,19.77,396.92,86,19.77,392.5
38,81.61,18.37,397.37,81.61,18.37,392.5
39,77.23,16.98,398.27,77.23,16.98,392.5
40,72.84,15.59,399.27,72.84,15.59,392.5
41,68.46,14.2,400.27,68.46,14.2,392.5
42,64.07,12.8,401.33,64.07,12.8,392.5
43,59.69,11.41,402.58,59.69,11.41,392.5
44,55.31,10.02,403.74,55.31,10.02,392.5
45,50.92,8.62,404.93,50.92,8.62,392.5
46,46.54,7.23,405.43,46.54,7.23,392.5
47,44.04,10.58,405.53,44.04,10.58,392.5
48,47.52,11.74,404.91,47.52,11.74,392.5
49,51.9,13.13,403.81,51.9,13.13,392.5
50,56.29,14.53,402.55,56.29,14.53,392.5
51,60.67,15.92,401.2,60.67,15.92,392.5
52,65.06,17.31,400.03,65.06,17.31,392.5
53,69.44,18.7,398.83,69.44,18.7,392.5
54,73.82,20.1,397.73,73.82,20.1,392.5
55,78.21,21.49,396.79,78.21,21.49,392.5
56,82.59,22.88,396.13,82.59,22.88,392.5
57,86.98,24.28,395.69,86.98,24.28,392.5
