Hole Name,Collar X,Collar Y,Collar Z
1,478808.41,6772359.09,395.19
2,478804.03,6772357.7,395.58
3,478799.64,6772356.3,396.02
4,478795.26,6772354.91,396.86
5,478790.88,6772353.52,397.41
6,478786.49,6772352.13,397.92
7,478782.11,6772350.73,398.47
8,478777.72,6772349.34,399.27
9,478773.34,6772347.95,400.35
10,478768.96,6772346.55,401.29
11,478764.57,6772345.16,402.06
12,478760.19,6772343.77,402.84
13,478755.8,6772342.38,403.52
14,478751.42,6772340.98,404.59
15,478747.79,6772339.8,405.33
16,478744.02,6772338.59,405.42
17,478742.06,6772342.12,405.28
18,478744.46,6772343,405.35
19,478748.02,6772344.1,404.75
20,478752.4,6772345.49,403.67
21,478756.78,6772346.88,402.52
22,478761.17,6772348.28,401.69
23,478765.55,6772349.67,400.7
24,478769.94,6772351.06,399.82
25,478774.32,6772352.46,398.79
26,478778.7,6772353.85,398.01
27,478783.09,6772355.24,397.38
28,478787.47,6772356.63,396.8
29,478791.86,6772358.03,396.31
30,478796.24,6772359.42,395.71
31,478800.62,6772360.81,394.92
32,478805.01,6772362.2,394.57
33,478797.22,6772363.93,394.41
34,478792.84,6772362.54,395.3
35,478788.45,6772361.14,395.85
36,478784.07,6772359.75,396.34
37,478779.69,6772358.36,396.92
38,478775.3,6772356.96,397.37
39,478770.92,6772355.57,398.27
40,478766.53,6772354.18,399.27
41,478762.15,6772352.79,400.27
42,478757.76,6772351.39,401.33
43,478753.38,6772350,402.58
44,478749,6772348.61,403.74
45,478744.61,6772347.21,404.93
46,478740.23,6772345.82,405.43
47,478737.73,6772349.17,405.53
48,478741.21,6772350.33,404.91
49,478745.59,6772351.72,403.81
50,478749.98,6772353.12,402.55
51,478754.36,6772354.51,401.2
52,478758.75,6772355.9,400.03
53,478763.13,6772357.29,398.83
54,478767.51,6772358.69,397.73
55,478771.9,6772360.08,396.79
56,478776.28,6772361.47,396.13
57,478780.67,6772362.87,395.69
58,478785.05,6772364.26,395.03
59,478789.43,6772365.65,394.54
60,478777.26,6772365.98,394.7
61,478772.88,6772364.59,395.32
62,478768.49,6772363.2,396.28
63,478764.11,6772361.8,397.28
64,478759.73,6772360.41,398.67
65,478755.34,6772359.02,399.91
66,478750.96,6772357.62,401.34
67,478746.57,6772356.23,402.76
68,478742.19,6772354.84,404.11
69,478737.81,6772353.45,405.33
70,478736.51,6772357.16,405.16
71,478739.69,6772358.41,404.26
72,478743.17,6772359.35,403.06
73,478747.56,6772360.74,401.65
74,478751.94,6772362.13,400.2
75,478756.32,6772363.53,398.65
76,478760.71,6772364.92,396.99
77,478765.09,6772366.31,395.78
78,478769.48,6772367.7,394.71
79,478766.07,6772370.82,394.49
80,478761.69,6772369.43,395.78
81,478757.3,6772368.03,397.32
82,478752.92,6772366.64,398.97
83,478748.54,6772365.25,400.52
84,478744.15,6772363.86,402.12
85,478739.77,6772362.46,403.68
86,478735.86,6772361.24,404.99
87,478736.37,6772365.58,404.56
88,478740.75,6772366.97,402.93
89,478745.13,6772368.37,401.26
90,478749.52,6772369.76,399.66
91,478753.9,6772371.15,397.96
92,478758.29,6772372.54,396.22
93,478762.67,6772373.94,394.93
94,478763.65,6772378.44,394.65
95,478759.27,6772377.05,395.88
96,478754.82,6772374.83,397.5
97,478750.44,6772373.44,399.04
98,478746.11,6772372.87,400.62
99,478743.57,6772371.85,401.63
100,478740.68,6772370.35,402.87
101,478737.35,6772370.09,404.15
102,478736.52,6772373.07,404.76
103,478748.49,6772375.63,399.78
104,478752.85,6772377.97,398.33
105,478757.4,6772380.42,396.93
106,478752.17,6772375.7,398.48
107,478755.07,6772378.08,397.46
108,478759.82,6772380.29,396.14
109,478763.39,6772382.17,395
110,478735.79,6772376.68,404.72
111,478737.14,6772380.35,404.6
112,478739.55,6772385.55,403.82
113,478742.79,6772388.66,402.98
114,478747.21,6772390.26,401.93
115,478751.35,6772391.62,400.92
116,478755.51,6772393.67,399.94
117,478761.5,6772398.1,398.54
118,478759.58,6772396.18,398.96
119,478757.27,6772395.84,399.6
120,478753.57,6772393.37,400.48
121,478749.39,6772391.66,401.48
122,478744.77,6772390.34,402.59
123,478740.64,6772387.96,403.57
124,478736.89,6772386.73,404.73
125,478736.71,6772383.37,404.79
126,478735.17,6772390.58,405.27
127,478737.87,6772391.24,404.68
128,478742.25,6772392.63,403.48
129,478746.63,6772394.02,402.49
130,478751.02,6772395.42,401.42
131,478755.4,6772396.81,400.36
132,478758.34,6772397.87,399.49
133,478761.7,6772400.13,398.65
134,478763.58,6772402.05,398.23
135,478762.84,6772404.68,398.85
136,478759.32,6772402.38,399.54
137,478756.38,6772401.32,400.26
138,478752,6772399.93,401.37
139,478747.62,6772398.53,402.46
140,478743.23,6772397.14,403.47
141,478738.85,6772395.75,404.49
142,478734.46,6772394.35,405.47
143,478733.21,6772398.41,405.6
144,478735.44,6772398.86,405.27
145,478739.83,6772400.26,404.21
146,478744.21,6772401.65,403.32
147,478748.6,6772403.04,402.46
148,478752.98,6772404.43,401.47
149,478757.36,6772405.83,400.53
150,478761.75,6772407.22,399.45
151,478765.09,6772408.67,398.56
152,478765.07,6772405.97,398.32
153,478767.66,6772411.24,397.97
154,478766.42,6772413.18,398.35
155,478762.73,6772411.73,399.33
156,478758.35,6772410.34,400.5
157,478753.96,6772408.94,401.68
158,478749.58,6772407.55,402.62
159,478745.19,6772406.16,403.3
160,478740.81,6772404.76,404.11
161,478736.43,6772403.37,405.04
162,478732.95,6772402.26,405.63
163,478733.59,6772406.76,405.54
164,478737.41,6772407.88,404.87
165,478741.79,6772409.27,403.93
166,478746.17,6772410.67,403.22
167,478750.56,6772412.06,402.32
168,478754.94,6772413.45,401.33
169,478759.33,6772414.84,400.24
170,478762.27,6772415.91,399.5
171,478764.68,6772416.52,398.87
172,478766.52,6772415.59,398.34
173,478762.7,6772419.05,399.29
174,478759.77,6772419.16,400.02
175,478755.92,6772417.96,400.87
176,478751.54,6772416.57,401.82
177,478747.16,6772415.17,402.73
178,478742.77,6772413.78,403.61
179,478738.39,6772412.39,404.44
180,478734,6772411,405.46
181,478732.69,6772414.7,405.53
182,478734.98,6772415.5,405.01
183,478739.37,6772416.9,403.92
184,478743.75,6772418.29,403.07
185,478748.14,6772419.68,402.1
186,478752.52,6772421.08,401.31
187,478755.46,6772422.14,400.63
188,478758.19,6772422.8,399.97
189,478760.05,6772421.81,399.6
190,478758.3,6772425.1,399.58
191,478756.78,6772426.44,399.64
192,478753.5,6772425.58,400.4
193,478749.12,6772424.19,401.41
194,478744.73,6772422.8,402.21
195,478740.35,6772421.41,403.23
196,478735.96,6772420.01,404.36
197,478731.58,6772418.62,405.51
198,478729.05,6772421.91,405.78
199,478732.56,6772423.13,405.15
200,478736.95,6772424.52,403.66
201,478741.33,6772425.91,402.41
202,478745.71,6772427.31,401.37
203,478750.1,6772428.7,400.41
204,478754.48,6772430.09,399.19
205,478758.87,6772431.49,397.97
206,478763.25,6772432.88,396.53
207,478767.63,6772434.27,395.12
208,478768.62,6772438.78,394.54
209,478764.23,6772437.39,395.76
210,478759.85,6772435.99,397.04
211,478755.46,6772434.6,398.3
212,478751.08,6772433.21,399.32
213,478746.69,6772431.82,400.38
214,478742.31,6772430.42,401.4
215,478739.23,6772429.64,402.3
216,478736.15,6772427.11,403.64
217,478733.47,6772426.03,404.7
218,478729.03,6772427.22,405.7
219,478730.01,6772425.79,405.61
220,478725.95,6772424.99,406.23
221,478717.04,6772428.19,406.66
222,478721.38,6772427,406.45
223,478723.83,6772429.01,406.42
224,478725.75,6772428.58,406.17
225,478737.02,6772433.97,402.05
226,478737.16,6772430.2,402.74
227,478738.91,6772433.54,401.61
228,478743.29,6772434.93,400.46
229,478747.68,6772436.32,399.3
230,478752.06,6772437.72,398.26
231,478756.44,6772439.11,397.41
232,478760.83,6772440.5,396.27
233,478765.21,6772441.9,395.19
234,478757.42,6772443.62,396.5
235,478753.04,6772442.23,397.23
236,478748.66,6772440.83,398.3
237,478744.27,6772439.44,399.51
238,478739.89,6772438.05,400.74
239,478737.42,6772437.23,401.47
240,478722.97,6772430.96,406.22
241,478720.97,6772431.92,406.64
242,478717.97,6772431.08,407.03
243,478713.58,6772429.69,407.29
244,478710.45,6772428.64,407.17
245,478707.1,6772431.18,407.03
246,478710.18,6772432.81,407.46
247,478714.57,6772434.2,407.38
248,478718.95,6772435.59,406.63
249,478720.86,6772434.14,406.37
250,478739.16,6772440.54,400.42
251,478739.73,6772444.58,399.79
252,478740.87,6772442.56,399.85
253,478745.25,6772443.95,398.55
254,478749.64,6772445.34,397.38
255,478754.02,6772446.73,396.27
256,478755,6772451.24,395.54
257,478750.62,6772449.85,396.3
258,478746.23,6772448.46,397.46
259,478741.85,6772447.07,398.82
260,478738.04,6772446.99,399.68
261,478731.95,6772446.69,400.69
262,478735.95,6772447.42,400.32
263,478727.13,6772445.96,401.53
264,478728.5,6772445.41,401.39
265,478724.2,6772448.14,401.76
266,478717.91,6772437.42,406.52
267,478715.55,6772438.71,406.79
268,478711.16,6772437.32,407.31
269,478706.78,6772435.92,407.2
270,478703.58,6772434.85,406.95
271,478703.37,6772439.04,406.84
272,478707.76,6772440.43,406.81
273,478712.14,6772441.82,406.21
274,478714.54,6772440.58,406.33
275,478720.63,6772449.08,402.46
276,478725.77,6772448.15,401.42
277,478729.68,6772447.4,400.85
278,478734.06,6772448.79,400.27
279,478738.45,6772450.18,398.97
280,478742.83,6772451.57,397.27
281,478747.22,6772452.97,396.26
282,478743.81,6772456.08,396.17
283,478739.43,6772454.69,397.23
284,478735.04,6772453.3,398.65
285,478730.66,6772451.9,400.02
286,478726.28,6772450.51,400.86
287,478722.27,6772450.22,401.66
288,478717.05,6772448.06,403.59
289,478713.12,6772446.33,404.74
290,478708.74,6772444.94,405.76
291,478704.36,6772443.55,406.17
292,478700.43,6772442.51,406.01
293,478697.89,6772445.6,405.79
294,478700.95,6772446.66,405.6
295,478705.34,6772448.06,405.15
296,478709.72,6772449.45,404.51
297,478714.1,6772450.84,403.28
298,478718.49,6772452.23,401.99
299,478722.87,6772453.63,400.76
300,478727.26,6772455.02,399.8
301,478731.64,6772456.41,398.56
302,478736.03,6772457.81,397.14
303,478740.41,6772459.2,396.25
304,478737.01,6772462.31,396.24
305,478732.62,6772460.92,397.13
306,478728.24,6772459.53,398.33
307,478723.85,6772458.14,399.62
308,478719.47,6772456.74,400.78
309,478715.09,6772455.35,402.02
310,478710.7,6772453.96,403.49
311,478706.32,6772452.56,404.38
312,478701.93,6772451.17,404.99
313,478697.55,6772449.78,405.5
314,478696.25,6772453.68,405.41
315,478698.53,6772454.29,405.22
316,478702.91,6772455.68,404.6
317,478707.3,6772457.07,403.74
318,478711.68,6772458.47,402.51
319,478716.07,6772459.86,401.07
320,478720.45,6772461.25,399.67
321,478724.83,6772462.64,398.23
322,478729.22,6772464.04,396.91
323,478733.6,6772465.43,396.11
324,478730.2,6772468.55,396.12
325,478725.82,6772467.15,397.07
326,478721.43,6772465.76,398.56
327,478717.05,6772464.37,400.12
328,478712.66,6772462.97,401.43
329,478708.28,6772461.58,402.89
330,478703.9,6772460.19,404.17
331,478699.51,6772458.8,404.93
332,478695.13,6772457.4,405.33
333,478696.11,6772461.91,405.14
334,478700.49,6772463.31,404.56
335,478704.88,6772464.7,403.78
336,478709.26,6772466.09,402.05
337,478713.64,6772467.48,400.53
338,478718.03,6772468.88,399.05
339,478722.41,6772470.27,397.61
340,478726.8,6772471.66,396.52
341,478731.18,6772473.05,395.8
342,478727.78,6772476.17,396.2
343,478723.39,6772474.78,397.01
344,478719.01,6772473.38,398.07
345,478714.63,6772471.99,399.59
346,478710.24,6772470.6,401.14
347,478703.34,6772468.4,403.85
348,478701.47,6772467.81,404.3
349,478697.09,6772466.42,404.93
350,478693.97,6772465.46,405.14
351,478693.69,6772469.54,405.12
352,478698.07,6772470.93,404.64
353,478702.45,6772472.32,403.97
354,478708.7,6772474.2,401.2
355,478711.22,6772475.11,400.17
356,478715.61,6772476.5,398.64
357,478719.99,6772477.89,397.42
358,478716.59,6772481.01,398.7
359,478712.2,6772479.62,399.7
360,478707.82,6772478.22,401.35
361,478701.73,6772474.82,403.86
362,478699.05,6772475.44,404.34
363,478694.67,6772474.05,405.16
364,478696.83,6772474.67,404.73
365,478700.87,6772476.33,404.13
366,478710.14,6772479.75,400.34
367,478714.32,6772480.75,399.34
