Hole Name,Collar X,Collar Y,Collar Z,Toe X,Toe Y,Toe Z,diameter,subdrill,shape,holeColour
1,582.382,368.027,405.500,579.333,367.434,392.3,229,1.2,mesh-cylinder,yellow
2,584.923,363.812,405.500,582.379,362.031,392.3,229,1.2,mesh-cylinder,yellow
3,587.965,359.297,405.500,585.421,357.516,392.3,229,1.2,mesh-cylinder,yellow
4,591.206,354.582,405.500,588.662,352.801,392.3,229,1.2,mesh-cylinder,yellow
5,594.506,349.682,405.500,591.962,347.901,392.3,229,1.2,mesh-cylinder,yellow
6,597.889,344.482,403.700,595.345,342.701,392.3,229,1.2,mesh-cylinder,yellow
7,601.931,340.138,405.500,599.387,338.356,392.3,229,1.2,mesh-cylinder,yellow
8,606.272,335.523,405.500,603.728,333.741,392.3,229,1.2,mesh-cylinder,yellow
9,609.314,330.808,405.500,606.770,329.026,392.3,229,1.2,mesh-cylinder,yellow
10,612.955,325.593,405.500,610.411,323.811,392.3,229,1.2,mesh-cylinder,yellow
11,616.597,320.778,405.500,614.052,318.996,392.3,229,1.2,mesh-cylinder,yellow
12,619.938,315.563,405.500,617.394,313.782,392.3,229,1.2,mesh-cylinder,yellow
13,585.998,367.837,405.500,585.998,367.837,392.3,229,1.2,mesh-cylinder,white
14,588.740,363.923,405.500,588.740,363.923,392.3,229,1.2,mesh-cylinder,white
15,592.181,359.008,405.500,592.181,359.008,392.3,229,1.2,mesh-cylinder,white
16,595.623,354.093,405.500,595.623,354.093,392.3,229,1.2,mesh-cylinder,white
17,599.064,349.178,405.500,599.064,349.178,392.3,229,1.2,mesh-cylinder,white
18,602.506,344.263,405.500,602.506,344.263,392.3,229,1.2,mesh-cylinder,white
19,605.947,339.348,405.500,605.947,339.348,392.3,229,1.2,mesh-cylinder,white
20,609.389,334.433,405.500,609.389,334.433,392.3,229,1.2,mesh-cylinder,white
21,612.830,329.518,405.500,612.830,329.518,392.3,229,1.2,mesh-cylinder,white
22,616.272,324.603,405.500,616.272,324.603,392.3,229,1.2,mesh-cylinder,white
