entityName	entityType	pointID	pointXLocation	pointYLocation	pointZLocation	lineWidth	colour
POLYGON	poly	1	682.7923584	249.9966278	405.5093079	2	lime
POLYGON	poly	2	691.1919556	254.4449463	405.4511108	2	lime
POLYGON	poly	3	702.7939453	262.4469299	405.5074158	2	lime
POLYGON	poly	4	712.9307861	275.2462769	405.3812866	2	lime
POLYGON	poly	5	725.1564331	289.640564	405.5274048	2	lime
POLYGON	poly	6	734.3560181	298.8760376	406.2624817	2	lime
POLYGON	poly	7	620.9871216	405.2887573	405.5761719	2	lime
POLYGON	poly	8	602.5761719	390.9429321	405.8739624	2	lime
POLYGON	poly	9	587.4845581	375.1289063	405.3126831	2	lime
POLYGON	poly	10	580.6752319	368.7852478	405.019165	2	lime
POLYGON	poly	11	597.3085327	343.4700012	405.2414551	2	lime
POLYGON	poly	12	605.4403687	334.5768127	405.1000061	2	lime
POLYGON	poly	13	614.6331177	321.6497192	405.4140015	2	lime
POLYGON	poly	14	625.0385742	306.4320679	404.9797974	2	lime
POLYGON	poly	15	628.0389404	299.1069946	404.9802856	2	lime
POLYGON	poly	16	636.8235474	290.0869751	404.9577332	2	lime
POLYGON	poly	17	644.0032349	280.5916138	405.0654602	2	lime
POLYGON	poly	18	648.8560791	271.4283447	405.2753906	2	lime
POLYGON	poly	19	653.1068115	263.2173157	405.4916687	2	lime
