Hole Name,Collar X,Collar Y,Collar Z,Toe X,Toe Y,Toe Z,diameter,subdrill,shape
1,478808.410,6772359.090,395.190,478808.410,6772359.090,392.500,165,1,filled-circle
2,478804.030,6772357.700,395.580,478804.030,6772357.700,392.500,165,1,filled-circle
3,478799.640,6772356.300,396.020,478799.640,6772356.300,392.500,165,1,filled-circle
4,478795.260,6772354.910,396.860,478795.260,6772354.910,392.500,165,1,filled-circle
5,478790.880,6772353.520,397.410,478790.880,6772353.520,392.500,165,1,filled-circle
6,478786.490,6772352.130,397.920,478786.490,6772352.130,392.500,165,1,filled-circle
7,478782.110,6772350.730,398.470,478782.110,6772350.730,392.500,165,1,filled-circle
8,478777.720,6772349.340,399.270,478777.720,6772349.340,392.500,165,1,filled-circle
9,478773.340,6772347.950,400.350,478773.340,6772347.950,392.500,165,1,filled-circle
10,478768.960,6772346.550,401.290,478768.960,6772346.550,392.500,165,1,filled-circle
11,478764.570,6772345.160,402.060,478764.570,6772345.160,392.500,165,1,filled-circle
12,478760.190,6772343.770,402.840,478760.190,6772343.770,392.500,165,1,filled-circle
13,478755.800,6772342.380,403.520,478755.800,6772342.380,392.500,165,1,filled-circle
14,478751.420,6772340.980,404.590,478751.420,6772340.980,392.500,165,1,filled-circle
15,478747.790,6772339.800,405.330,478747.790,6772339.800,392.500,165,1,filled-circle
16,478744.020,6772338.590,405.420,478744.020,6772338.590,392.500,165,1,filled-circle
17,478742.060,6772342.120,405.280,478742.060,6772342.120,392.500,165,1,outline-circle
18,478744.460,6772343.000,405.350,478744.460,6772343.000,392.500,165,1,outline-circle
19,478748.020,6772344.100,404.750,478748.020,6772344.100,392.500,165,1,outline-circle
20,478752.400,6772345.490,403.670,478752.400,6772345.490,392.500,165,1,outline-circle
21,478756.780,6772346.880,402.520,478756.780,6772346.880,392.500,165,1,outline-circle
22,478761.170,6772348.280,401.690,478761.170,6772348.280,392.500,165,1,outline-circle
23,478765.550,6772349.670,400.700,478765.550,6772349.670,392.500,165,1,outline-circle
24,478769.940,6772351.060,399.820,478769.940,6772351.060,392.500,165,1,outline-circle
25,478774.320,6772352.460,398.790,478774.320,6772352.460,392.500,165,1,outline-circle
26,478778.700,6772353.850,398.010,478778.700,6772353.850,392.500,165,1,outline-circle
27,478783.090,6772355.240,397.380,478783.090,6772355.240,392.500,165,1,outline-circle
28,478787.470,6772356.630,396.800,478787.470,6772356.630,392.500,165,1,outline-circle
29,478791.860,6772358.030,396.310,478791.860,6772358.030,392.500,165,1,outline-circle
30,478796.240,6772359.420,395.710,478796.240,6772359.420,392.500,165,1,outline-circle
31,478800.620,6772360.810,394.920,478800.620,6772360.810,392.500,165,1,outline-circle
32,478805.010,6772362.200,394.570,478805.010,6772362.200,392.500,165,1,outline-circle
33,478797.220,6772363.930,394.410,478797.220,6772363.930,392.400,165,1,outline-circle
34,478792.840,6772362.540,395.300,478792.840,6772362.540,392.500,165,1,outline-circle
35,478788.450,6772361.140,395.850,478788.450,6772361.140,392.500,165,1,outline-circle
36,478784.070,6772359.750,396.340,478784.070,6772359.750,392.500,165,1,outline-circle
37,478779.690,6772358.360,396.920,478779.690,6772358.360,392.500,165,1,outline-circle
38,478775.300,6772356.960,397.370,478775.300,6772356.960,392.500,165,1,outline-circle
39,478770.920,6772355.570,398.270,478770.920,6772355.570,392.500,165,1,outline-circle
40,478766.530,6772354.180,399.270,478766.530,6772354.180,392.500,165,1,outline-circle
41,478762.150,6772352.790,400.270,478762.150,6772352.790,392.500,165,1,outline-circle
42,478757.760,6772351.390,401.330,478757.760,6772351.390,392.500,165,1,outline-circle
43,478753.380,6772350.000,402.580,478753.380,6772350.000,392.500,165,1,outline-circle
44,478749.000,6772348.610,403.740,478749.000,6772348.610,392.500,165,1,outline-circle
45,478744.610,6772347.210,404.930,478744.610,6772347.210,392.500,165,1,outline-circle
46,478740.230,6772345.820,405.430,478740.230,6772345.820,392.500,165,1,outline-circle
47,478737.730,6772349.170,405.530,478737.730,6772349.170,392.500,165,1,outline-circle
48,478741.210,6772350.330,404.910,478741.210,6772350.330,392.500,165,1,outline-circle
49,478745.590,6772351.720,403.810,478745.590,6772351.720,392.500,165,1,outline-circle
50,478749.980,6772353.120,402.550,478749.980,6772353.120,392.500,165,1,outline-circle
51,478754.360,6772354.510,401.200,478754.360,6772354.510,392.500,165,1,outline-circle
